objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,filename,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,proceso,soporte,iluminacion,tono,tipologia,polaridad
demo_006,Ferrotipo,1870,,Anónimo,,"Retrato de busto de un hombre joven afrodescendiente mirando hacia un costado en pose reflexiva. Viste una camisa clara con cuello fruncido y una prenda exterior oscura abierta. El fondo muestra un interior sencillo con una cortina de motivos florales a la derecha, sugiriendo un entorno de estudio fotográfico de época.",,Ferrotipo; Afroamericano; Siglo XIX,Estados Unidos (Probablemente región del Atlántico Medio),38.8951,-77.0364,,,,,,,,Image;StillImage,image/jpeg,es,,demo_006.jpg,9blbkr,image,/objects/demo_006.jpg,/objects/small/demo_006_sm.jpg,/objects/thumbs/demo_006_th.jpg,,,Colodión húmedo,Película,Transmisión,Monocromático,Impresión,Positivo
demo_007,Ferrotipo,1880,,Anónimo,,"Un retrato de estudio de cuerpo completo que muestra a un hombre joven de ascendencia africana. El sujeto viste ropa formal del siglo XIX, incluyendo un sombrero hongo y un saco oscuro, posando con una mano en la cadera y apoyado en un pedestal con plantas frente a un telón de fondo pintado.",,Ferrotipo; Cultura Afroamericana; Moda victoriana,Noreste de Estados Unidos (probablemente Philadelphia o New York),39.9526,-75.1652,,,,,,,,Image;StillImage,image/jpeg,es,,demo_007.jpg,8n12lc,image,/objects/demo_007.jpg,/objects/small/demo_007_sm.jpg,/objects/thumbs/demo_007_th.jpg,,,Colodión húmedo,Vidrio,Transmisión,Monocromático,Negativo,Negativo
demo_008,Daguerrotipo,1850,,Anónimo,,"Retrato fotográfico de una niña sentada en una silla de madera, capturado a mediados del siglo XIX. La infante viste un vestido con patrón de cuadros, escote recto y mangas cortas abullonadas. La imagen destaca por su composición formal y frontal, típica de la época, presentada en un estuche protector con acabados en terciopelo rosado y marco de latón decorado.",,Daguerrotipo; Moda victoriana; Retrato infantil,Estados Unidos (probablemente Nueva York o Boston),40.7128,-74.006,,,,,,,,Image;StillImage,image/jpeg,es,,demo_008.jpg,d26ayp,image,/objects/demo_008.jpg,/objects/small/demo_008_sm.jpg,/objects/thumbs/demo_008_th.jpg,,,Daguerrotipo,Metal,Reflexión,Monocromático,Impresión,Positivo
demo_009,Millard Fillmore,1850,,Estudio de Mathew Brady,,"Retrato de estudio de mediados del siglo XIX de una pareja de edad avanzada en pose formal. El hombre, a la izquierda, viste un traje oscuro con un cuello rígido y corbatín, mostrando una expresión severa. A su lado, una mujer porta un vestido oscuro y una cofia blanca de encaje que enmarca su rostro, colocando su mano sobre el hombro del caballero en señal de unión familiar.",,Millard Fillmore; Daguerrotipo; Retrato Presidencial,"Washington D.C., Estados Unidos",38.897667,-77.03655,,,,,,,,Image;StillImage,image/jpeg,es,,demo_009.jpg,vt2b5v,image,/objects/demo_009.jpg,/objects/small/demo_009_sm.jpg,/objects/thumbs/demo_009_th.jpg,,,Daguerrotipo,Metal,Reflexión,Policromático,Impresión,Positivo
demo_010,Daguerrotipo,1850,,Anónimo (Atribuido a un estudio profesional),,"Retrato de medio cuerpo de un hombre joven con mirada directa y ojos claros. Viste indumentaria formal del siglo XIX, compuesta por una chaqueta oscura, camisa blanca de cuello alto y un lazo oscuro anudado al cuello. Se observa una leontina cruzando su chaleco y sus manos reposan tranquilas sobre su regazo, mostrando una pose solemne típica de la época.",,Daguerrotipo; Retrato decimonónico; Moda masculina victoriana,Noreste de los Estados Unidos (probablemente Boston o Nueva York),40.712776,-74.005974,,,,,,,,Image;StillImage,image/jpeg,es,,demo_010.jpg,s3h2k4,image,/objects/demo_010.jpg,/objects/small/demo_010_sm.jpg,/objects/thumbs/demo_010_th.jpg,,,Daguerrotipo,Metal,Transmisión,Monocromático,Negativo,Negativo
demo_011,Daguerrotipo,1850,,Anónimo,,"Retrato de estudio de medio cuerpo de un hombre adulto con patillas pronunciadas, vistiendo ropa formal de mediados del siglo XIX que incluye saco oscuro, chaleco y corbata. Destaca el uso de anteojos con cristales oscuros. La imagen está resguardada en un estuche abierto con una cubierta interior de terciopelo rojo decorada con un motivo de pavo real.",,Daguerrotipo; Retrato de estudio; Moda victoriana,Estados Unidos (Probablemente Nueva York o Massachusetts),40.7128,-74.006,,,,,,,,Image;StillImage,image/jpeg,es,,demo_011.jpg,tr6yk5,image,/objects/demo_011.jpg,/objects/small/demo_011_sm.jpg,/objects/thumbs/demo_011_th.jpg,,,Daguerrotipo,Vidrio,Transmisión,Monocromático,Impresión,Positivo
demo_012,Daguerrotipo,1850,,Josiah Johnson Hawes,,"Vista interior de una habitación doméstica de mediados del siglo XIX. La escena incluye una cómoda con libros y una lámpara, un retrato octogonal colgado en la pared y una mesa con mantel blanco. En el suelo se aprecia un juguete pequeño, y a la derecha aparece una figura humana borrosa debido al movimiento durante la exposición prolongada.",,Daguerrotipo; Interior doméstico; Siglo XIX,"Boston, Massachusetts",42.3601,-71.0589,,,,,,,,Image;StillImage,image/jpeg,es,,demo_012.jpg,8g5xx,image,/objects/demo_012.jpg,/objects/small/demo_012_sm.jpg,/objects/thumbs/demo_012_th.jpg,,,Daguerrotipo,Metal,Reflexión,Monocromático,Impresión,Positivo
demo_013,Daguerrotipo,1850,,Anónimo (Estudio fotográfico estadounidense),,"Retrato de estudio de mediados del siglo XIX que muestra a un hombre de mediana edad junto a un infante. El adulto viste prendas formales oscuras con un pañuelo al cuello, mientras el niño porta un vestido estampado y un collar. La imagen destaca por el sutil coloreado manual en las mejillas de ambos sujetos, buscando un efecto realista.",,Daguerrotipo; Moda Victoriana; Retrato familiar,Noreste de Estados Unidos (Probablemente Nueva York o Boston),40.712776,-74.005974,,,,,,,,Image;StillImage,image/jpeg,es,,demo_013.jpg,z2rq3q,image,/objects/demo_013.jpg,/objects/small/demo_013_sm.jpg,/objects/thumbs/demo_013_th.jpg,,,Daguerrotipo,Metal,Reflexión,Monocromático,Impresión,Positivo
demo_014,Daguerrotipo,1855,,Anónimo,,"Retrato de estudio de un infante de corta edad, con cabello corto y expresión seria. Viste una prenda de patrón cuadriculado con cintas oscuras decorativas y hombros caídos, una moda infantil prevalente en el siglo XIX. El sujeto posa sentado en una composición de medio cuerpo, característica de la retratística comercial de la época.",,Daguerrotipo; Moda victoriana; Retrato infantil,Noreste de los Estados Unidos (Nueva York o Filadelfia),40.7128,-74.006,,,,,,,,Image;StillImage,image/jpeg,es,,demo_014.jpg,k8y2p9,image,/objects/demo_014.jpg,/objects/small/demo_014_sm.jpg,/objects/thumbs/demo_014_th.jpg,,,Daguerrotipo,Metal,Reflexión,Monocromático,Impresión,Positivo
demo_015,Daguerrotipo,1850,,Anónimo,,"Vista industrial que muestra una imponente chimenea de ladrillo en el centro de la composición, perteneciente a la Ferrería de Pacho en Veracruz. Se observan operarios masculinos trabajando sobre estructuras de madera y andamios frente a edificios de piedra. El paisaje circundante muestra árboles de follaje ralo, sugiriendo una escena rural industrial del México decimonónico.",,Daguerrotipo; Revolución Industrial; Arquitectura fabril,Noreste de Estados Unidos (posiblemente Massachusetts o Pensilvania),42.3601,-71.0589,,,,,,,,Image;StillImage,image/jpeg,es,,demo_015.jpg,fz1zbw,image,/objects/demo_015.jpg,/objects/small/demo_015_sm.jpg,/objects/thumbs/demo_015_th.jpg,,,Daguerrotipo,Metal,Transmisión,Monocromático,Negativo,Negativo
